longName,address,city,region,postalCode,lat,lng
Chelsea (23rd and 6th),60 W 23rd St,New York,NY,10010,40.74264,-73.9927
Broadway NoHo,622 Broadway,New York,NY,10012,40.72578,-73.9961
Midtown Manhattan (44th and 5th),529 5th Ave,New York,NY,10017,40.75418,-73.97993
Upper West Side (62nd and Broadway),1880 Broadway,New York,NY,10023,40.77024,-73.98172
86th and Lexington,1280 Lexington Ave,New York,NY,10028,40.77974,-73.95566
Staten Island,2795 Richmond Ave,Staten Island,NY,10314,40.57675,-74.16736
Bronx Terminal Market,610 Exterior St,Bronx,NY,10451,40.82173,-73.92997
Fordham Road,402 E Fordham Rd,Bronx,NY,10458,40.86136,-73.89141
Hartsdale,299 N Central Ave,Hartsdale,NY,10530,41.02699,-73.79254
Cortlandt,3105 E Main St,Mohegan Lake,NY,10547,41.31083,-73.87128
Mount Vernon,555 E Sandford Blvd,Mount Vernon,NY,10550,40.90204,-73.81959
Yonkers,2478 Central Park Ave,Yonkers,NY,10710,40.9814,-73.8277
Middletown,1100 N Galleria Dr,Middletown,NY,10941,41.45545,-74.37262
Monroe,128 Bailey Farm Rd,Monroe,NY,10950,41.31601,-74.15185
West Nyack,1240 Palisades Center Dr,West Nyack,NY,10994,41.09808,-73.9578
Long Island City,5001 Northern Blvd,Long Island City,NY,11101,40.7536,-73.91196
Bay Parkway Brooklyn,8923 Bay Pkwy,Brooklyn,NY,11214,40.59367,-73.99899
Atlantic Center,625 Atlantic Ave,Brooklyn,NY,11217,40.68345,-73.97417
Kings Plaza,5102 Avenue U,Brooklyn,NY,11234,40.60988,-73.9217
Gateway Brooklyn,369 Gateway Dr,Brooklyn,NY,11239,40.65156,-73.87267
Flushing,13107 40th Rd,Flushing,NY,11354,40.75662,-73.83698
Laguardia Airport (LGA) Terminal B Gate A2,Laguardia Intl Airport,Flushing,NY,11369,40.764919,-73.872784
Laguardia Airport (LGA) Terminal B Gate D3,Laguardia Intl Airport,Flushing,NY,11369,40.764919,-73.872784
Laguardia Airport (LGA) Terminal B Gate C4/C6,Laguarida Airport,Flushing,NY,11371,40.77307891845703,-73.8756332397461
Rego Park,8801 Queens Blvd,Elmhurst,NY,11373,40.73541,-73.87445
John F. Kennedy Airport (JFK) Terminal 5 Gate 7,John F Kennedy Intl Airport,Jamaica,NY,11430,40.64364597201347,-73.79009194672108
BBA013JFK7,John F Kennedy Intl Airport,Jamaica,NY,11430,40.64364597201347,-73.79009194672108
John F. Kennedy Airport (JFK) Terminal 7 Gate 2,JFK International Airport,Jamaica,NY,11430,40.64364597201347,-73.79009194672108
John F. Kennedy Airport (JFK) Terminal 2 Gate C61,JFK International Airport,Jamaica,NY,11430,40.64364597201347,-73.79009194672108
John F. Kennedy Airport (JFK) Terminal 5 Gate 9,JFK International Airport,Jamaica,NY,11430,40.64364597201347,-73.79009194672108
John F. Kennedy Airport (JFK) Terminal 5 Gate 23,JFK Intl Airport Terminal 5,Jamaica,NY,11430,40.64364597201347,-73.79009194672108
John F. Kennedy (JFK) Terminal 8 Gate 37,10 N Service Rd,Jamaica,NY,11430,40.79787366092205,-73.50369036197662
BBA231JFK8,JFK ACCESS RD,JAMAICA,NY,11430,,
Baldwin,660 Sunrise Hwy,Baldwin,NY,11510,40.65588,-73.61252
Valley Stream,6 West Circle Dr,Valley Stream,NY,11581,40.664,-73.72411
Westbury,1100 Old Country Rd,Westbury,NY,11590,40.74432,-73.60206
Bay Shore,1851 Sunrise Hwy,Bay Shore,NY,11706,40.74104,-73.23717
South Setauket,261 Pond Path,South Setauket,NY,11720,40.88422,-73.09929
Commack,3124 Jericho Tpke,East Northport,NY,11731,40.83832,-73.31902
