index,address,city,region,postalcode,lat,lng
220,646 N West End Blvd,Quakertown,PA,18951,40.46087,-75.37182
221,310 Commerce Blvd,Fairless Hills,PA,19030,40.18847,-74.86542
222,642 Baltimore Pike,Springfield,PA,19064,39.92008,-75.32778
223,1130 Easton Rd,Willow Grove,PA,19090,40.15733,-75.12466
224,9733 Roosevelt Blvd,Philadelphia,PA,19114,40.082357,-75.026677
225,2300 S Christopher Columbus Bl,Philadelphia,PA,19148,39.91565,-75.13889
226,8000 Essington Ave,Philadelphia,PA,19153,39.894994,-75.229085
227,10 Quarry Rd,Downingtown,PA,19335,40.01888,-75.67585
228,310 Goddard Blvd,King Of Prussia,PA,19406,40.0927,-75.39568
229,400 Front St,Collegeville,PA,19426,40.16357,-75.48094
230,801 Bethlehem Pike,North Wales,PA,19454,40.2376,-75.23856
231,2010 Chemical Rd,Plymouth Meeting,PA,19462,40.10288,-75.29518
232,200 Upland Sq Dr,Pottstown,PA,19464,40.26474,-75.65323
233,1701 Crossing Dr,Wyomissing,PA,19610,40.3482,-75.96624
234,2700 Fashion Center Blvd,Newark,DE,19702,39.67262797,-75.64898349
235,4807 Concord Pike,Wilmington,DE,19803,39.82647,-75.54269
236,1165 N Dupont Hwy,Dover,DE,19901,39.18922,-75.53799
237,901 MASSACHUSETTS AVE NW,WASHINGTON,DC,20001,38.903442,-77.02421
238,50 Massachusetts NE,Washington,DC,20002,38.89689624,-77.00654536
239,3100 14th St NW,Washington,DC,20010,38.92903,-77.03415
240,7665 Sudley Rd,Manassas,VA,20109,38.79072,-77.51333
241,13093 Gateway Center Dr,Gainesville,VA,20155,38.7939,-77.60362
242,45575 Dulles Eastern Plz,Sterling,VA,20166,39.02328,-77.42217
243,609 Potomac Station Dr,Leesburg,VA,20176,39.09757,-77.52822
244,1861 Fountain Dr,Reston,VA,20190,38.96173,-77.35572
245,11725 Berry Rd,Waldorf,MD,20603,38.62682,-76.91233
246,45235 Worth Ave,California,MD,20619,38.2968,-76.51028
247,2300 Petrie Ln,Lanham,MD,20706,38.92193,-76.84587
248,14160 Baltimore Ave,Laurel,MD,20707,39.08459,-76.86461
249,15800 Collington Rd,Bowie,MD,20716,38.94518,-76.73065
250,4710 Cherry Hill Rd,College Park,MD,20740,39.01694,-76.92951
251,1200 Rockville Pike,Rockville,MD,20852,39.06994,-77.13014
252,20914 Frederick Rd,Germantown,MD,20876,39.2,-77.25166
253,15750 Shady Grove Rd,Gaithersburg,MD,20877,39.11612,-77.18684
254,10901 Georgia Ave,Wheaton,MD,20902,39.03454,-77.04863
255,602 Boulton St,Bel Air,MD,21014,39.52858,-76.35952
256,6722 Ritchie Hwy,Glen Burnie,MD,21061,39.19076,-76.6154
257,8251 Gateway Overlook Dr,Elkridge,MD,21075,39.18456,-76.79364
258,7000 Arundel Mills Cir,Hanover,MD,21076,39.15473,-76.72428
259,1717 York Rd,Timonium,MD,21093,39.42801,-76.61869
260,160 W RIDGELY RD,LUTHERVILLE TIMONIUM,MD,21093,39.429581,-76.626196
261,10400 Owings Mills Blvd,Owings Mills,MD,21117,39.41976,-76.77919
262,7550 Perryman Ct,Curtis Bay,MD,21226,39.1762,-76.54946
263,5200 Campbell Blvd,Nottingham,MD,21236,39.37275,-76.45415
264,7426 New Ridge Rd,Baltimore,MD,21240,39.17658234,-76.67123413
265,2643 Housley Rd,Annapolis,MD,21401,38.98602,-76.55493
266,7300 Guilford Dr,Frederick,MD,21704,39.39725,-77.41602
267,18053 Garland Groh Blvd,Hagerstown,MD,21740,39.66082,-77.744
268,109 E North Pointe Dr,Salisbury,MD,21804,38.41724,-75.56405
269,9652 Main St,Fairfax,VA,22031,38.84353,-77.27589
270,13058 Fairlakes Shopping Ctr,Fairfax,VA,22033,38.85716,-77.39622
271,5799 Leesburg Pike,Falls Church,VA,22041,38.8505,-77.13119
272,6555 Frontier Dr,Springfield,VA,22150,38.77423,-77.16965
273,8449 Leesburg Pike,Vienna,VA,22182,38.92427,-77.23953
274,2730 Prince William Pkwy,Woodbridge,VA,22192,38.65217,-77.29523
275,1201 S Hayes St,Arlington,VA,22202,38.86147,-77.05831
276,3401 Jefferson Davis Hwy,Alexandria,VA,22305,38.83608,-77.04947
277,1541 Carl D Silver Pkwy,Fredericksburg,VA,22401,38.30296,-77.50473
278,1455 Stafford Market Pl,Stafford,VA,22556,38.47147,-77.41201
279,601 East Jubal Early Dr,Winchester,VA,22601,39.16421,-78.16511
280,259 Burgess Rd,Harrisonburg,VA,22801,38.43291,-78.85294
